,pop_total,median_income,state,ZCTA5CE10
468,35657,25838,12,32211
469,38231,31730,12,32216
470,44058,39624,12,32224
471,15667,37803,12,32226
472,137,,12,32323
473,7609,25452,12,32347
474,18864,30444,12,32408
475,20892,32507,12,32713
476,37981,31116,12,32714
477,12371,24217,12,32784
478,26483,40223,12,32789
479,20609,26778,12,32796
480,27661,35419,12,32806
481,61289,27780,12,32825
482,35981,21013,12,32826
483,4834,25406,12,32421
484,17877,21710,12,32433
485,843,15745,12,32437
486,3822,17677,12,32438
487,22163,32522,12,32444
488,11115,23188,12,32446
489,552,19444,12,32449
490,1826,28843,12,32062
491,211,43487,12,32072
492,42520,30128,12,32073
493,35761,25859,12,32084
494,29580,30428,12,32086
495,11800,35286,12,32095
496,2186,22623,12,32096
497,19030,33436,12,32097
498,19031,26385,12,32141
499,363,28902,12,32157
500,47341,25989,12,32164
501,27679,28399,12,32168
502,5874,20570,12,32189
503,6523,14858,12,32202
504,2466,22864,12,32212
505,11314,28712,12,32333
506,11374,20698,12,32340
507,12356,27379,12,32344
508,2021,30482,12,32358
509,4425,19759,12,32008
510,3538,19839,12,32053
511,1271,20064,12,32359
512,22027,23238,12,32401
513,14805,34193,12,32413
514,966,27382,12,32423
515,814,16454,12,32426
516,8405,22314,12,32448
517,34233,23392,12,32503
518,1962,24956,12,32544
519,35520,31555,12,32571
520,49659,25684,12,32608
521,4946,21352,12,32621
522,11299,22334,12,32640
523,268,13664,12,32683
524,4737,22055,12,32686
525,8264,30061,12,32618
526,18023,44161,12,32804
527,13771,35032,12,32931
528,36036,28573,12,32707
529,48151,33806,12,32712
530,32421,25308,12,32720
531,4576,37808,12,32732
532,45611,26434,12,32738
533,56266,30242,12,32771
534,31225,27530,12,32773
535,12029,29340,12,32776
536,59291,20500,12,32808
537,29095,21938,12,32809
538,27840,31478,12,32819
539,3228,12183,12,32831
540,48078,28408,12,32835
541,20053,39077,12,32836
542,23302,22564,12,32905
543,3994,23275,12,32322
544,7777,20301,12,32440
545,40232,34448,12,32566
546,1686,30242,12,32625
547,45244,40441,12,32746
548,13397,25476,12,32908
549,27919,44964,12,32832
550,9857,34043,12,32833
551,51310,26458,12,32837
552,41209,27364,12,32935
553,9092,20738,12,32976
554,2023,26115,12,32694
555,10984,26547,12,32754
556,12243,44350,12,32801
557,20148,44421,12,32803
558,41057,22303,12,32811
559,35855,30783,12,32812
560,17680,27562,12,32821
561,26743,31417,12,32043
562,5703,27025,12,32130
563,3661,31331,12,32009
564,14509,30398,12,32011
565,19452,27115,12,32024
566,13482,31145,12,32063
567,30539,48789,12,32082
568,4115,21422,12,32083
569,7097,21813,12,32087
570,15256,24196,12,32091
571,37014,42487,12,32092
572,7754,23048,12,32134
573,16027,19924,12,32206
574,64007,30257,12,32218
575,3807,26515,12,32744
576,3334,21865,12,32767
577,37861,26954,12,32810
578,58198,21967,12,32818
579,10442,30934,12,32820
580,9427,41131,12,32827
581,16709,19779,12,32922
582,27377,30524,12,32927
583,2468,30270,12,32949
584,10822,31313,12,32407
585,964,31337,12,32410
586,13586,20753,12,32425
587,1034,16875,12,32427
588,4145,24244,12,32431
589,2497,18214,12,32445
590,11134,20566,12,32501
591,37470,30299,12,32526
592,29713,34871,12,32533
593,30131,26496,12,32539
594,11521,30089,12,32222
595,24571,39755,12,32223
596,3337,22012,12,32227
597,47943,37231,12,32256
598,49927,10713,12,32304
599,22029,40400,12,32308
600,25089,21434,12,32901
601,21915,26477,12,32926
602,42171,34309,12,32940
603,4522,32790,12,32950
604,13154,32412,12,32968
605,36116,26635,12,32780
606,19105,33896,12,32934
607,4676,28517,12,32033
608,28676,42439,12,32003
609,2002,,12,32026
610,6890,22116,12,32064
611,22261,34643,12,32080
612,14856,49413,12,32081
613,21183,35396,12,32128
614,22185,26263,12,32129
615,17,,12,32133
616,54951,31931,12,32162
617,470,22407,12,32228
618,20902,22983,12,32305
619,31597,44462,12,32309
620,14876,42519,12,32317
621,12935,18549,12,32348
622,6246,25811,12,32352
623,7494,23937,12,32435
624,36,246591,12,32461
625,3331,30370,12,32502
626,675,9231,12,32509
627,1034,13824,12,32511
628,40,,12,32530
629,7978,37700,12,32550
630,25912,35322,12,32563
631,7164,2652,12,32612
632,155,56339,12,32631
633,8021,57679,12,32814
634,6,,12,32830
635,32239,26231,12,32405
636,4365,25758,12,32131
